date,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_3_price,comp_4_price,comp_5_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price
2022/1/1,28.49,25,712,290,198,107,0,117,28.95,29.99,34.99,32.99,,28.95,34.99,,25.99,31.99
2022/1/2,28.49,51,1453,592,403,218,0,240,28.95,29.99,34.99,32.99,,28.95,34.99,,25.99,31.99
2022/1/3,28.59,151,4317,1752,1194,648,0,723,28.95,29.99,34.99,32.99,,28.95,34.99,,25.99,31.99
2022/1/4,28.99,181,5247,2100,1432,787,0,928,28.95,29.99,34.99,32.99,,28.95,34.99,,25.99,31.99
2022/1/5,29.29,146,4276,1694,1155,641,0,786,28.95,29.99,34.99,32.99,,28.95,34.99,,25.99,31.99
2022/1/6,29.29,142,4159,1647,1123,624,0,765,28.95,29.99,32.99,32.99,,28.95,32.99,,25.99,31.99
2022/1/7,29.29,121,3544,1404,957,532,0,651,28.95,29.99,32.99,32.99,,28.95,32.99,,25.99,31.99
2022/1/8,28.59,38,1086,441,301,163,0,181,28.95,29.99,32.99,32.99,,28.95,32.99,,25.99,31.99
2022/1/9,29.29,23,674,267,182,101,0,124,28.95,29.99,32.99,32.99,,28.95,32.99,,25.99,31.99
2022/1/10,29.29,132,3866,1531,1044,580,0,711,28.95,29.99,29.99,33.45,,28.95,33.45,,25.99,31.99
2022/1/11,29.19,151,4408,1752,1194,661,0,801,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/12,28.59,133,3802,1543,1052,570,0,637,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/13,28.29,119,3367,1380,941,505,0,541,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/14,28.29,129,3649,1496,1020,547,0,586,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/15,28.49,47,1339,545,372,201,0,221,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/16,28.49,22,627,255,174,94,0,104,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/17,28.49,116,3305,1346,918,496,0,545,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/18,28.49,103,2934,1195,815,440,0,484,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/19,28.79,131,3771,1520,1036,566,0,649,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/20,28.99,123,3566,1427,973,535,0,631,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/21,28.79,103,2965,1195,815,445,0,510,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/22,28.49,32,912,371,253,137,0,151,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/23,28.99,22,638,255,174,96,0,113,28.95,29.99,29.99,52.24,,28.95,52.24,,25.99,31.99
2022/1/24,28.99,123,3566,1427,973,535,0,631,28.95,29.99,29.99,70.84,,28.95,70.84,,25.99,31.99
2022/1/25,28.79,123,3541,1427,973,531,0,610,28.95,29.99,29.99,70.84,,28.95,70.84,,25.99,31.99
2022/1/26,28.99,101,2928,1172,799,439,0,518,28.95,29.99,29.99,70.84,,28.95,70.84,,25.99,31.99
2022/1/27,28.99,111,3218,1288,878,483,0,569,28.95,29.99,29.99,70.84,,28.95,70.84,,25.99,31.99
2022/1/28,28.89,107,3091,1241,846,464,0,540,28.95,29.99,29.99,70.84,,28.95,70.84,,25.99,31.99
2022/1/29,28.99,24,696,278,190,104,0,124,28.95,29.99,29.99,70.84,,28.95,70.84,,25.99,31.99
2022/1/30,28.99,28,812,325,221,122,0,144,28.95,29.99,29.99,70.84,,28.95,70.84,,25.99,31.99
2022/1/31,28.99,80,2319,928,633,348,0,410,29.95,29.99,28.99,50.05,,28.99,50.05,,25.99,31.99
2022/2/1,28.49,126,3590,1462,997,538,0,593,29.95,29.99,28.99,50.05,,28.99,50.05,,25.99,31.99
2022/2/2,28.49,97,2764,1125,767,415,0,457,29.95,29.99,28.99,48,,28.99,48,,25.99,31.99
2022/2/3,28.49,104,2963,1206,823,444,0,490,29.95,29.99,28.99,48,,28.99,48,,25.99,31.99
2022/2/4,28.29,123,3480,1427,973,522,0,558,29.95,29.99,28.99,48,,28.99,48,,25.99,31.99
2022/2/5,28.49,17,484,197,134,73,0,80,29.95,29.99,28.99,48,,28.99,48,,25.99,31.99
2022/2/6,28.49,18,513,209,142,77,0,85,29.95,29.99,28.99,48,,28.99,48,,25.99,31.99
2022/2/7,28.49,84,2393,974,664,359,0,396,29.95,29.99,28.99,42.75,,28.99,42.75,,25.99,31.99
2022/2/8,28.49,99,2821,1148,783,423,0,467,29.95,29.99,28.99,42.75,,28.99,42.75,,25.99,31.99
2022/2/9,28.49,106,3020,1230,838,453,0,499,29.95,29.99,28.99,42.75,,28.99,42.75,,25.99,31.99
2022/2/10,28.49,115,3276,1334,910,491,0,541,29.95,29.99,28.99,42.75,,28.99,42.75,,25.99,31.99
2022/2/11,28.49,100,2849,1160,791,427,0,471,29.95,29.99,28.99,42.75,,28.99,42.75,,25.99,31.99
2022/2/12,28.49,20,570,232,158,86,0,94,29.95,29.99,28.99,42.75,,28.99,42.75,,25.99,31.99
2022/2/13,28.49,20,570,232,158,86,0,94,29.95,29.99,28.99,42.75,,28.99,42.75,,25.99,31.99
2022/2/14,28.49,70,1994,812,554,299,0,329,29.95,29.99,28.99,41.74,,28.99,41.74,,25.99,31.99
2022/2/15,28.49,90,2564,1044,712,385,0,423,29.95,29.99,28.99,41.74,,28.99,41.74,,25.99,31.99
2022/2/16,28.19,98,2763,1137,775,414,0,437,29.95,29.99,28.99,41.74,,28.99,41.74,,25.99,31.99
2022/2/17,27.79,87,2418,1009,688,363,0,358,29.95,29.99,28.99,41.74,,28.99,41.74,,25.99,31.99
2022/2/18,28.49,67,1909,777,530,286,0,316,29.95,29.99,28.99,41.74,,28.99,41.74,,25.99,31.99
2022/2/19,29.89,13,389,151,103,58,0,77,29.95,29.99,28.99,41.74,,28.99,41.74,,25.99,31.99
2022/2/20,29.79,15,447,174,119,67,0,87,29.95,29.99,28.99,41.74,,28.99,41.74,,25.99,31.99
2022/2/21,29.89,52,1554,603,411,233,0,307,29.95,29.99,28.99,29.99,,28.99,29.99,,25.99,31.99
2022/2/22,30.19,77,2325,893,609,349,0,474,29.95,29.99,28.99,29.99,,28.99,29.99,,25.99,31.99
